name,description,genre
Рубеж Шангри-Ла: Любитель игрошлака бросает вызов топ-игре [1-9 из 12],"Ракуро, самопровозглашенный любитель «игрового шлака», не был типичным геймером. В то время как большинство игроков искали популярные, высококачественные игры, чтобы продемонстрировать свои навыки, Ракуро предпочитал малоизвестные, малобюджетные игры, которые были пронизаны ошибками и недостатками. Эти игры часто игнорировались основным игровым сообществом, считая их недостойными...",Приключения
Семь смертных грехов: Четыре всадника Апокалипсиса 2 [1-9 из 24],"Во втором сезоне аниме «Семь смертных грехов: Четыре всадника Апокалипсиса» зрители отправляются в захватывающее путешествие, в котором Персиваль и его спутники сталкиваются с новыми опасными приключениями. После победы над Королем демонов Персиваль жаждал мирной жизни. Он нашел убежище на острове Перст Бога, где он наконец-то насладился спокойствием и счастьем, которые так долго...",Приключения
Противостоящий Небесам [1-364 из 380],"В огромной вселенной бушует космическая война между Внутренней Вселенной и Внешней Вселенной. Внешняя Вселенная, находящаяся под контролем злобного демона, стремится завоевать и уничтожить царства богов, бессмертных и смертных, составляющие Внутреннюю Вселенную. Среди сложных слоев Внутренней Вселенной Звездная Территория Девяти Небес является полем битвы за господство. История...",Боевые искусства
Практикуя ци сто тысяч лет [1-190 из 260],"В мистическом мире, где мифические существа сосуществуют с людьми, организация Lise Palace выступает маяком надежды против наступающей тьмы. В центре этой истории — Бай Ци, молодой и энергичный член Дворца Лизэ, которому доверено грозное духовное оружие, известное как «Ляньци». По мере того, как Бай Ци раскрывает тайны прошлого своей семьи и истинный потенциал Ляньци, он отправляется в...",Боевые искусства
Непревзойденный духовный император [1-441 из 450],"В мистическом мире Сянь Вана главный герой натыкается на загадочную карту, содержащую ключ к воскрешению Короля Фей и с ее помощью достижения мирового господства. Отправляясь в этот амбициозный поиск, мужчина обнаруживает, что дух Короля Фей похоронен на древней территории Таньюнь, где десять тысяч лет назад когда-то господствовала Империя Наньюнь. Вернувшись домой, Сянь Ван...",Приключения
Ты — горничная [1-10 из 12],"В один обычный день спокойная жизнь Хитоёси Ёкои принимает неожиданный поворот, когда к его порогу приходит незнакомка. Она представляется горничной и просит его нанять ее. Хитоёси ошеломлен таким необычным предложением, но не может не быть очарован ее красотой и обаянием. Несмотря на свои первоначальные колебания и сомнения в том, принимает ли он правильное решение, в конечном итоге он...",Комедии
Боевой континент 2: Непревзойдённая секта Тан [1-78 из 104],"В мире, где боевые искусства и секретные учения обладают огромной силой, Тан Сан, молодой мальчик в бегах, крадет запретные знания из престижной школы боевых искусств. Преследуемый кланом, пытающимся казнить его за преступление, Тан Сан отказывается сдаться и пытается сбежать. В отчаянном акте неповиновения он подумывает о самоубийстве, но в свои последние минуты он осознает серьезность...",Боевые искусства
"Целитель, которого исключили из группы, оказался сильнейшим! [1-10 из 12]","Однажды в шумном фэнтезийном мире преданный целитель оказался в центре знаменитой группы искателей приключений. Он всегда был надежной опорой, залечивая раны и оживляя своих товарищей по команде. Однако, несмотря на все его усилия, лидер группы разочаровался, заметив, что целитель не вносит достаточного вклада в общий успех группы. Навыки целителя, хотя и полезные, казались...",Приключения
Синий экзорцист: За снегом [1-10 из 12],"Мир Ассии был заперт в беспощадном и жестоком конфликте с его противостоящим царством, Геенной, на протяжении бесчисленных столетий. Эта вечная борьба отмечена невообразимыми страданиями, поскольку могущественные демоны, ведомые их коварным правителем, сеют хаос среди невинных. Посреди этого хаоса стоит Рин Окумура, молодой человек с темной тайной: он полудемон. Его мать была смертной,...",Сёнен
Ранма 1/2 (2024) [1-10 из 12],"Во время судьбоносной тренировочной поездки в Китай жизнь Ранмы Саотоме принимает странный и необратимый поворот, когда он случайно падает в один из проклятых источников Дзюсэнкё, мистического и древнего тренировочного полигона. Говорят, что каждый источник проклят, и любой, кто упадет в один из них, обречен принять форму того, кто или что там утонул последним. К несчастью для Ранмы, он...",Комедии
Повелитель демонов 2099 [1-9 из 12],"Alneat — огромный и очаровательный мир, пропитанный магией и фантазией, когда-то находившийся под властью темного демона Велтола Вельвета Велсвальта. Известный своей огромной яростью и жестокостью, Велтол правил железным кулаком, причиняя страдания и отчаяние жителям, которые жили в постоянном страхе. Его тирания казалась бесконечной, пока храбрый герой по имени Грэм не поднялся, чтобы...",Фантастика
О движении Земли [1-11 из 25],"В бурном XV веке Европа оказалась на перепутье, сформированном сложным взаимодействием человеческой жестокости и опасений прогресса. Эта эпоха была отмечена замечательным расцветом искусства, новаторскими географическими открытиями и появлением революционных научных гипотез. Однако это было также время глубокого конфликта между зарождающимися прогрессивными умами и стойким религиозным...",Драмы
Компания «Маги-Люмьер» [1-10 из 12],"Компания «Маги-Люмьер», когда-то многообещающее магическое агентство, теперь балансирует на грани краха. В его рядах осталась только одна волшебница, и агентство изо всех сил пытается удержаться на плаву. Эта волшебница — Хитоми Кошигая, храбрая, энергичная воительница, известная своими исключительными магическими способностями. Хитоми была единственной линией обороны агентства,...",Комедии
Синяя тюрьма: Блю Лок против юношеской сборной Японии [1-10 из 14],"Наги Сейширо, решительный главный герой, оказывается в глубокой тренировке в престижной футбольной академии Blue Lock Special. Выбранный для присоединения к команде элитных нападающих страны, он окружен непревзойденным талантом и амбициями. Однако, несмотря на свои впечатляющие навыки и непоколебимую целеустремленность, Наги борется с неуверенностью в себе и неуверенностью в своих...",Сёнен
Блич: Тысячелетняя кровавая война [1-36 из 52],"Да! Это прямое продолжение того самого аниме Блич, которое закончилось давным давно, не раскрыв нам последние тома манги. Временны шинигами Курасаки Ичиго, заполучивший свою силу после встречи с Рукией Кучики, успел пройти через множества приключений, завести много новых друзей, победить вселенское зло по имени Айзен Соске и так же потерять свою силу в финальной битве с ним. Вернув...",Комедии
"Король демонов, попытайтесь снова! R [1-11 из 12]","Акиро Оно — мужчина средних лет, живущий в Японии, где он терпит монотонность скучной офисной работы. Каждый день кажется зеркалом предыдущего, и мало что отличает его от следующего. Единственная искра в его в остальном небогатой событиями жизни исходит от его любви к компьютерным играм. Эти виртуальные миры обеспечивают захватывающий побег от рутины, заполняющей его часы бодрствования....",Приключения
Господин и пёс [1-9 из 24],"В эпоху враждующих королевств, когда легендарные воины и полководцы вписывали свои имена в историю подвигами, соперничающими с подвигами богов и демонов, жизнь когда-то была наполнена славой, честью и волнением битвы. Сталкивались могущественные империи, и герои были почитаемы, их имена воспевались в песнях, которые эхом разносились по всем землям. Но те дни, отмеченные величием войны и...",Повседневность
Грибной щенок [1-10 из 12],"Хотару Юями, некогда жизнерадостный автор иллюстрированных книг, оказывается охваченным глубокой скорбью после потери своей любимой собаки Ханако. Этот душераздирающий опыт бросает длинную тень на его жизнь, оставляя его в состоянии отчаяния, где все кажется темным и пустым. Каждый день становится борьбой с подавляющим чувством потери, которое держит его парализованным, неспособным...",Повседневность
"Эй, Томбо! [1-10 из 13]","Аниме рассказывает трогательную историю о молодой девушке по имени Тонбо, чья жизнь разрушена трагическим несчастным случаем, унесшим жизни ее родителей. После этого разрушительного события Тонбо остается одна, подавленная горем и неуверенностью в своем будущем. Некогда беззаботная и невинная девушка теперь сталкивается с трудным вопросом о том, в чем ее цель в жизни, отягощенная...",Драмы
Синие Мибуро [1-8 из 12],"На дворе 1863 год, и Япония стоит на перепутье своей судьбы. Солнце садится в эпоху сёгуната, режима, который правил страной на протяжении столетий, и рассвет новой эпохи уже на горизонте. Но эти перемены не происходят тихо. Улицы Эдо, столицы, залиты кровью тех, кто оказался втянут в ожесточенные столкновения между самураями, верными сёгунату, и странствующими ронинами, воинами без...",Сёнен
"Трон, отмеченный богом [1-136 из 156]","В мирном королевстве Эльдория спокойствие разрушается, когда орды демонов под командованием безжалостного императора совершают разрушительную атаку на человеческие поселения. Подавляющая мощь демонических сил сокрушает любое сопротивление, оставляя обширные регионы в руинах. Среди хаоса несколько выдающихся личностей обретают беспрецедентную силу. Осознавая острую необходимость...",Приключения
Один шаг на пути к свободе [1-480 из 480],"В мире, наполненном разнообразными племенами и духами, каждое из которых имеет свои уникальные убеждения и взгляды, их связывает общая нить — неустанное стремление к истинному пути. В ходе этих общих поисков вспыхивают междоусобные войны, раскрывающие напряженность между теми, кто стремится к самосовершенствованию и вечной жизни, известными как Искатели, и деспотичными Правителями —...",Боевые искусства
Идеальный мир [1-192 из 234],"В мистическом мире Эльдории аниме «Идеальный мир» разворачивает эпическую сагу о Ши Хао, стойком молодом человеке, брошенном в тигель судьбы. Жизнь Ши Хао, рожденного в глубинах бедности, принимает небесный оборот, когда боги даруют ему свое благословение, предлагая возможность превзойти свое скромное происхождение. Будучи последним выжившим наследником распадающегося клана Лазурного...",Приключения
Ледяные кости [1-10 из 12],"Мало кто знает, что один из самых исключительных и яростно конкурентоспособных игроков в маджонг в нашем городе — молодой старшеклассник по имени Кей. Хотя он обладает тихим поведением, предпочитая оставаться в тени, его кажущееся спокойствие скрывает гораздо более глубокую и сложную реальность. Кей может похвастаться замечательными навыками наблюдения, непоколебимой волей и обширными...",Драмы
Мастера Меча Онлайн: Альтернативная «Призрачная пуля» 2 [1-10 из 12],"Виртуальная вселенная изменила способ взаимодействия людей с играми, предложив пространство, где люди могут стать кем угодно или чем угодно, кем пожелают. Этот огромный цифровой ландшафт привлекает множество геймеров, ищущих спасения от давления реальности. В этой сфере игроки могут создавать персонажей, которые отражают их самые сокровенные желания — от внешности до уникальных привычек...",Приключения
"Соблазн 2,5-мерного измерения [1-23 из 24]","Масамунэ Окумура, очаровательный старшеклассник, вполне доволен своим типичным образом жизни отаку и не видит необходимости его менять. Он открыто признается, что совершенно равнодушен к девушкам, смелая позиция, которая может поставить под угрозу его репутацию, но это его не беспокоит. Его сверстники принимают его позицию, и его одиночество не мешает ему стать президентом клуба...",Комедии
Плохая поездка [1-11 из 12],"В бурлящем мире современной культуры отаку Чизуко — типичный отшельник: ее жизнь вращается вокруг игр и просмотра сериалов, что оставляет ей мало общения за пределами ее виртуального убежища. Дни Чизуко, самопровозглашенного эксперта по эскапизму, заполнены пикселизированными приключениями и фэнтезийными мирами, а ее реальная жизнь едва ли попадает в поле ее зрения. Все меняется, когда...",Комедии
Бродяга Кэнсин: Беспорядки в Киото [1-10 из 12],"В период Эдо Япония пережила эпоху, отмеченную неопределенностью и множеством сложных проблем. Изолированная от внешнего мира, страна была отрезана закрытыми границами, которые душили прогресс, а не способствовали ему. Это добровольное уединение увело Японию от мировых тенденций и достижений, погрузив ее в цикл застоя. Последствия такой изоляции были ужасающими, поскольку она...",Истории
Голубая шкатулка [1-11 из 12],"Тайки Иномата — ученик третьего курса средней школы в Академии Эймей, престижном учебном заведении, известном своими исключительными спортивными программами. Недавно Тайки присоединился к школьной команде по бадминтону, стремясь улучшить свои навыки и найти свое место в конкурентной среде. Каждое утро он старается приходить в спортзал на открытую тренировку как можно раньше. Однако,...",Романтика
Игра на триллион [1-11 из 26],"Дружба Хару и Гаку началась в хаотичных коридорах средней школы, где их жизни кардинально разошлись. Хару — воплощение харизмы и уверенности; прирожденный лидер с амбициозным духом, который легко привлекает к себе других. Он из тех людей, которые могут озарить комнату своим присутствием, всегда полные идей и планов. В резком контрасте с ним находится Гаку, который сдержан и...",Драмы
"Прощай, жизнь дракона. Здравствуй, жизнь человека [1-10 из 12]","Рожденный в эпоху, когда боги бродили по земле, могущественный дракон правил безраздельно, не имея себе равных по силе и величию. На протяжении тысячелетий он внушал страх и почтение тем, кто встречался ему на пути. Его крылья затмевали небо, а его рев разносился по горам, вызывая уважение у всех существ. Однако с течением веков и развитием мира дракон столкнулся с неожиданным...",Приключения
Механические руки [1-10 из 12],"Главный герой этого аниме недавно отпраздновал свое шестнадцатилетие, ознаменовав конец школьных дней и начало новой главы в его взрослой жизни. Уверенный в том, что он сможет справиться с грядущими изменениями, он старательно разработал амбициозные планы на свое будущее. Однако у судьбы были свои планы. Необычный поворот событий нарушил его тщательно продуманные планы, когда он...",Меха
Вы правда женитесь? [1-10 из 12],"«Вы правда женитесь?» — восхитительная романтическая комедия, которая рассказывает забавную историю о любви, карьере и непредсказуемых поворотах жизни. В центре истории — два, казалось бы, обычных офисных работника, Рика Хондзёдзи и Такуя Охара. Они оба работают в туристическом агентстве, ведут тихую, предсказуемую жизнь и избегают любых серьезных потрясений или перемен. Интроверты по...",Романтика
Нападение одиночки на иной мир [1-11 из 12],"«Нападение одиночки на иной мир» — захватывающее аниме, повествующее о необыкновенном путешествии Харуки, скромного школьника, попавшего в мир магии и приключений. История начинается во время, казалось бы, типичного школьного обеда, когда на полу класса материализуется таинственный магический круг призыва. Ученики реагируют по-разному; в то время как старшеклассники пытаются понять...",Приключения
Дандадан [1-10 из 12],"Мир Момо Аясэ рушится после болезненного отказа, оставляя ее в мрачном настроении. Ее день резко меняется, когда она натыкается на Кена Такакуру, мальчика, подвергающегося жестоким издевательствам. Действуя импульсивно, Момо вмешивается, чтобы спасти его, но ее необычное замечание об инопланетянах привлекает внимание Кена. Желая сблизиться, Кен предлагает исследовать места, связанные с...",Комедии
Негативный позитивный рыбак [1-10 из 12],"Цунехиро Сасаки, некогда подающий надежды студент колледжа, обнаружил, что его жизнь превратилась в бесконечную череду трудностей, которые тяжким бременем легли на его душу. В юном возрасте он уже был обременен огромными долгами, которые душили его мечты и наполняли его дни чувством безнадежности. Каждое утро Цунехиро просыпался с сокрушительной реальностью того, что его будущее...",Приключения
"Может, я встречу тебя в подземелье? 5 [1-9 из 12]","Пятый сезон аниме «Может, я встречу тебя в подземелье?» станет захватывающим приключением, полным напряженной драмы и захватывающих испытаний для главного героя, Белла Кранела. По мере продолжения своих невероятных приключений Белл сталкивается с множеством новых препятствий, примечательных достижений и, неизбежно, некоторых оплошностей. Одной из самых значительных ошибок, с которыми он...",Приключения
Избрание божества 2 [1-10 из 12],"Известный японский гейм-дизайнер Йоко Таро известен своей способностью создавать нестандартные и нестандартные истории, которые раздвигают границы повествования видеоигр. Обладая талантом создавать темные, сложные и часто жестокие игры, Таро прославился как визионер в игровом мире. Его истории часто тревожат, предлагая игрокам смесь психологического исследования и жестокого, грубого...",Триллеры
Тасукэцу [1-21 из ?],"В мире, опустошенном таинственной эпидемией исчезновений, пятеро незнакомцев оказываются втянутыми в непостижимую реальность. Этот преображенный мир, окутанный загадкой и наполненный необъяснимыми событиями, подчиняется прихотям загадочного «Императора». Действуя тайно, Император выбирает людей с помощью тайных сообщений, заманивая их в ловушку игры, где на кону стоит лишь сама жизнь....",Драмы
"Ёко из Сэнгоку: Тысяча демонов хаоса, Сезон 2 [1-19 из 22]","В мире, где люди и демоны, называемые катаварами, живут в хрупкой гармонии, беспрецедентная волна злобы грозит разрушить их сосуществование. «Ёко из Сэнгоку: Тысяча демонов хаоса» следует за сводными братьями Джинком и Тамой, которые неожиданно становятся чемпионами, в которых отчаянно нуждается их мир. Джинк, таящий обиду на человечество за его темную историю, находит неожиданного...",Драмы
"На этот раз одержи победу над императором драконов, благородная девушка! [1-9 из 12]","Джилл Савелль, когда-то гордая невеста наследного принца Джеральда де Клейтоса и почитаемая как «богиня войны», теперь оказывается преследуемой той самой нацией, защите которой она посвятила свою жизнь. Преданная своим женихом, она ложно обвинена в измене и заключена в тюрьму, оставленная размышлять о глубине своего сожаления, когда приближается клинок палача. В момент отчаяния, как раз...",Комедии
Слабый пятитысячелетний дракон-вегетарианец 2 [1-11 из 12],"Когда-то давно жил кроткий дракон, который процветал на диете из растений, наслаждаясь безмятежностью своей беззаботной жизни в скрытой пещере. Этот дракон был почитаем как бог теми, кто его знал, героическая фигура, чье присутствие вызывало уважение и восхищение среди жителей деревни. Несмотря на оказанную ему честь, он часто чувствовал себя неполноценным по сравнению с более храбрыми...",Комедии
Пуниру — милая слизь [1-9 из 12],"Котаро Каваи — обычный ученик второго года обучения в старшей школе, который на первый взгляд легко вписывается в круг своих одноклассников. Однако за этим фасадом скрывается удивительная тайна, о которой никто не знает. Семь лет назад, когда Котаро был просто любопытным учеником начальной школы, он отправился в творческое путешествие, которое навсегда изменило его жизнь. Очарованный...",Комедии
Брачные узы с семьёй Амагами [1-10 из 24],"Аниме «Брачные узы с семьей Амагами» — захватывающая романтическая драма, которая переносит зрителей в чарующий мир японских семейных традиций, магии и сложностей любви. В центре истории — Юна Амагами, молодой человек, чья жизнь принимает неожиданный поворот после того, как он встречает трех необычных девушек из семьи Амагами. У каждой из этих девушек есть своя собственная личность,...",Комедии
"Я стану злодейкой, которая войдёт в историю [1-10 из 12]","Алисия Уильямс, первенец уважаемой семьи Уильямс, известна в знатных кругах своим непревзойденным талантом в темной магии. Ее яркие черные волосы струятся по спине, как тень, а ее золотые глаза сияют аурой превосходства и власти. Но за ее потрясающей внешностью скрывается более печальная репутация — Алисия — настоящая злодейка, ее боятся и поносят за ее острый ум, безжалостное поведение...",Комедии
